,mean_not_PA,mean_PA,mean_nat,dist_not,dist_PA,median_not_PA,median_PA,median_nat,dist_not,dist_PA,dif_avg_not,dif_avg_PA,sd_not_PA,sd_PA,sd_nat,dist_not,dist_PA
work_per_pop,2.488,2.658,2.592,-0.104,0.066,1.692,1.717,1.695,-0.003,0.022,0.348,0.394,2.288,2.391,2.350,-0.062,0.040
f_close_per_pop,1.180,1.230,1.210,-0.031,0.019,0.830,0.760,0.780,0.047,-0.024,0.352,0.361,0.994,1.301,1.191,-0.197,0.110
f_close_per_work,0.517,0.460,0.482,0.035,-0.022,0.495,0.440,0.458,0.037,-0.018,0.116,0.102,0.190,0.196,0.195,-0.006,0.001
d_7_per_pop,0.015,0.023,0.020,-0.005,0.003,0.000,0.000,0.000,0.000,0.000,0.395,0.404,0.038,0.057,0.051,-0.013,0.007
d_7_per_work,0.007,0.009,0.008,-0.002,0.001,0.000,0.000,0.000,0.000,0.000,0.467,0.563,0.015,0.016,0.016,0.000,0.000
d_10_per_pop,0.008,0.010,0.009,-0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.119,0.250,0.067,0.040,0.052,0.015,-0.012
d_10_per_work,0.002,0.003,0.003,-0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.214,0.016,0.014,0.015,0.002,-0.001
c_5_per_pop,0.125,0.138,0.133,-0.008,0.005,0.021,0.054,0.036,-0.015,0.018,0.456,0.351,0.228,0.239,0.235,-0.007,0.004
c_5_per_work,0.056,0.059,0.058,-0.002,0.001,0.010,0.024,0.020,-0.010,0.004,0.479,0.422,0.096,0.083,0.088,0.008,-0.005
c_6_per_pop,0.007,0.038,0.026,-0.019,0.012,0.000,0.000,0.000,0.000,0.000,0.250,0.213,0.028,0.178,0.141,-0.113,0.037
c_6_per_work,0.003,0.013,0.009,-0.006,0.004,0.000,0.000,0.000,0.000,0.000,0.333,0.394,0.009,0.033,0.027,-0.017,0.006
c_7_per_pop,0.013,0.010,0.011,0.002,-0.001,0.000,0.000,0.000,0.000,0.000,0.082,0.303,0.158,0.033,0.101,0.056,-0.068
c_7_per_work,0.004,0.005,0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.089,0.250,0.045,0.020,0.032,0.013,-0.012
