GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD03,HD01_VD04,HD01_VD05,HD01_VD06,HD01_VD07,HD01_VD08,HD01_VD09
Id,Id2,Geography,Estimate; Total:,Estimate; Total: - White alone,Estimate; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Estimate; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race
0400000US01,01,Alabama,4850771,3317702,1287167,25098,62815,2213,66942,88834,7644
0400000US02,02,Alaska,738565,481971,23702,104995,45604,9075,10505,62713,3204
0400000US04,04,Arizona,6809946,5277661,292831,300182,213417,13364,474583,237908,48784
0400000US05,05,Arkansas,2977944,2302141,459969,19476,42368,7062,75106,71822,6651
0400000US06,06,California,38982847,23607242,2263222,292018,5503672,152027,5329952,1834714,399813
0400000US08,08,Colorado,5436519,4576201,221155,51406,164771,8580,225497,188909,33670
0400000US09,09,Connecticut,3594478,2757064,376240,9385,156450,931,183754,110654,25216
0400000US10,10,Delaware,943732,652170,206290,3482,36553,465,18512,26260,2514
0400000US11,11,District of Columbia,672391,273471,321062,1757,25558,289,30961,19293,2665
0400000US12,12,Florida,20278447,15343997,3270863,56730,543394,12342,536298,514823,89900
0400000US13,13,Georgia,10201635,6061821,3195268,30552,388946,5237,282570,237241,33692
0400000US15,15,Hawaii,1421658,357308,25884,2756,540556,142600,14056,338498,9958
0400000US16,16,Idaho,1657375,1507880,11231,21323,22720,2343,47964,43914,6090
0400000US17,17,Illinois,12854526,9236701,1833501,29696,671811,4275,767145,311397,63104
0400000US18,18,Indiana,6614418,5546787,613060,15027,137680,2635,145791,153438,19804
0400000US19,19,Iowa,3118102,2824197,106762,10791,71178,2913,39527,62734,5151
0400000US20,20,Kansas,2903820,2465518,168470,23503,80738,1923,65253,98415,9305
0400000US21,21,Kentucky,4424376,3862600,353088,9324,59593,2271,41197,96303,7942
0400000US22,22,Louisiana,4663461,2909599,1500648,27094,80980,1401,56216,87523,8886
0400000US23,23,Maine,1330158,1258918,16906,8212,14804,249,2967,28102,885
0400000US24,24,Maryland,5996079,3395212,1782256,16281,373065,2830,236834,189601,21692
0400000US25,25,Massachusetts,6789319,5358373,499774,14336,426225,2253,278835,209523,31591
0400000US26,26,Michigan,9925568,7813199,1374515,51804,289082,2808,115258,278902,25374
0400000US27,27,Minnesota,5490726,4598252,326953,57566,255935,1976,95600,154444,13104
0400000US28,28,Mississippi,2986220,1755471,1122576,13258,28859,597,27530,37929,3257
0400000US29,29,Missouri,6075300,5004537,703061,25933,112959,6336,71084,151390,11570
0400000US30,30,Montana,1029862,916664,4438,66865,7448,571,5492,28384,1684
0400000US31,31,Nebraska,1893921,1663612,89718,16012,42208,1524,35276,45571,4727
0400000US32,32,Nevada,2887725,1936453,253013,32426,232502,19019,279977,134335,21767
0400000US33,33,New Hampshire,1331848,1244260,18632,2148,33313,289,7016,26190,2397
0400000US34,34,New Jersey,8960161,6085474,1207356,18006,844105,3013,573146,229061,52405
0400000US35,35,New Mexico,2084828,1547843,42187,197191,29991,1390,197944,68282,23333
0400000US36,36,New York,19798228,12638791,3100685,77130,1652846,7937,1730813,590026,148758
0400000US37,37,North Carolina,10052564,6937466,2159427,117998,269164,6393,310920,251196,27655
0400000US38,38,North Dakota,745475,654024,17365,39507,10197,341,6600,17441,1188
0400000US39,39,Ohio,11609756,9503779,1428230,21872,235878,3499,103726,312772,25907
0400000US40,40,Oklahoma,3896251,2828569,283821,289871,80670,5543,105686,302091,15279
0400000US41,41,Oregon,4025127,3416776,76347,45332,166351,15157,121000,184164,17499
0400000US42,42,Pennsylvania,12790505,10378174,1417611,24995,417525,3665,251215,297320,35838
0400000US44,44,Rhode Island,1056138,854801,68346,5413,35556,759,59967,31296,6889
0400000US45,45,South Carolina,4893444,3292598,1332110,14992,71994,3015,74328,104407,10727
0400000US46,46,South Dakota,855444,724430,14698,74062,11693,381,6687,23493,1431
0400000US47,47,Tennessee,6597381,5131786,1107392,17568,110605,3784,88745,137501,11432
0400000US48,48,Texas,27419612,20459525,3286950,130360,1236852,23531,1580393,702001,149391
0400000US49,49,Utah,2993941,2600077,33619,32079,67545,26742,150596,83283,14531
0400000US50,50,Vermont,624636,590499,7921,2072,9680,206,2197,12061,418
0400000US51,51,Virginia,8365952,5720209,1605447,22499,520119,5469,200265,291944,30558
0400000US53,53,Washington,7169967,5500837,261743,94754,578822,46071,293007,394733,36006
0400000US54,54,West Virginia,1836843,1714591,65300,3322,14096,541,7193,31800,1712
0400000US55,55,Wisconsin,5763217,4950577,365884,50094,152325,1811,111435,131091,16031
0400000US56,56,Wyoming,583200,532394,6121,13549,5102,470,10247,15317,2113
0400000US72,72,Puerto Rico,3468963,2389446,338939,10849,7789,136,511785,210019,18701
