"","State","avg_PAIMI","avg_pop"
"1","Alabama",0.00758,0.0422666666666667
"2","Alaska",0.03487,0.0701666666666667
"3","Arizona",0.115283333333333,0.311466666666667
"4","Arkansas",0.00826333333333333,0.0737
"5","California",0.219883333333333,0.3887
"6","Colorado",0.19479,0.213933333333333
"7","Connecticut",0.18105,0.1566
"8","Delaware",0.05605,0.0906333333333333
"9","District of Columbia",0.05625,0.109266666666667
"10","Florida",0.0706566666666667,0.251433333333333
"11","Georgia",0.0435633333333333,0.0941666666666667
"12","Hawaii",0.04506,0.104366666666667
"13","Idaho",0.166413333333333,0.124133333333333
"14","Illinois",0.102286666666667,0.1696
"15","Indiana",0.0166666666666667,0.0678333333333333
"16","Iowa",0.0832433333333333,0.0587666666666667
"17","Kansas",0.0572366666666667,0.1172
"18","Kentucky",0.02082,0.0358666666666667
"19","Louisiana",0.03886,0.0504
"20","Maine",0.0164833333333333,0.0160333333333333
"21","Maryland",0.0329566666666667,0.098
"22","Massachusetts",0.0779033333333333,0.115533333333333
"23","Michigan",0.0281766666666667,0.0499666666666667
"24","Minnesota",0.0318966666666667,0.053
"25","Mississippi",0.0155066666666667,0.0313333333333333
"26","Missouri",0.011105,0.041
"27","Montana",0.0162033333333333,0.0375
"28","Nebraska",0.35901,0.1067
"29","Nevada",0.227913333333333,0.2846
"30","New Hampshire",0.0459533333333333,0.0356666666666667
"31","New Jersey",0.12761,0.1989
"32","New Mexico",0.17708,0.4856
"33","New York",0.101876666666667,0.188966666666667
"34","North Carolina",0.0400433333333333,0.0920666666666667
"35","North Dakota",0.04061,0.0364333333333333
"36","Ohio",0.0196866666666667,0.037
"37","Oklahoma",0.0776,0.1041
"38","Oregon",0.10012,0.1281
"39","Pennsylvania",0.05606,0.0706333333333333
"40","Rhode Island",0.0635366666666667,0.150366666666667
"41","South Carolina",0.0242566666666667,0.0555333333333333
"42","South Dakota",0.0813866666666667,0.0381
"43","Tennessee",0.01274,0.0530666666666667
"44","Texas",0.351273333333333,0.3915
"45","Utah",0.132636666666667,0.138533333333333
"46","Vermont",0.0259466666666667,0.0186666666666667
"47","Virginia",0.0258766666666667,0.0917666666666667
"48","Washington",0.0801933333333333,0.124933333333333
"49","West Virginia",0.0458,0.0156333333333333
"50","Wisconsin",0.04623,0.0667333333333333
"51","Wyoming",0.10296,0.0987666666666667
